"Dataset: Underlying Cause of Death, 1999-2017",,,,,,,
Query Parameters:,,,,,,,
Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44),,,,,,,
Group By: State; Year; Month,,,,,,,
Notes,State,State Code,Year,Year Code,Month,Month Code,Deaths
,Alaska,2,2017,2017,"Aug., 2017",2017/08,12
,Alaska,2,2017,2017,"Sep., 2017",2017/09,15
,Alaska,2,2017,2017,"Dec., 2017",2017/12,12
,Arizona,4,1999,1999,"Jan., 1999",1999/01,29
,Arizona,4,1999,1999,"Feb., 1999",1999/02,30
,Arizona,4,1999,1999,"Mar., 1999",1999/03,31
,Arizona,4,1999,1999,"Apr., 1999",1999/04,34
,Arizona,4,1999,1999,"May, 1999",1999/05,35
,Arizona,4,1999,1999,"Jun., 1999",1999/06,30
,Arizona,4,1999,1999,"Jul., 1999",1999/07,37
,Arizona,4,1999,1999,"Aug., 1999",1999/08,34
,Arizona,4,1999,1999,"Sep., 1999",1999/09,23
,Arizona,4,1999,1999,"Oct., 1999",1999/10,30
,Arizona,4,1999,1999,"Nov., 1999",1999/11,23
,Arizona,4,1999,1999,"Dec., 1999",1999/12,26
,Arizona,4,2000,2000,"Jan., 2000",2000/01,38
,Arizona,4,2000,2000,"Feb., 2000",2000/02,36
,Arizona,4,2000,2000,"Mar., 2000",2000/03,29
,Arizona,4,2000,2000,"Apr., 2000",2000/04,38
,Arizona,4,2000,2000,"May, 2000",2000/05,31
,Arizona,4,2000,2000,"Jun., 2000",2000/06,36
,Arizona,4,2000,2000,"Jul., 2000",2000/07,42
,Arizona,4,2000,2000,"Aug., 2000",2000/08,30
,Arizona,4,2000,2000,"Sep., 2000",2000/09,42
,Arizona,4,2000,2000,"Oct., 2000",2000/10,26
,Arizona,4,2000,2000,"Nov., 2000",2000/11,33
,Arizona,4,2000,2000,"Dec., 2000",2000/12,18
,Arizona,4,2001,2001,"Jan., 2001",2001/01,30
,Arizona,4,2001,2001,"Feb., 2001",2001/02,31
,Arizona,4,2001,2001,"Mar., 2001",2001/03,29
,Arizona,4,2001,2001,"Apr., 2001",2001/04,38
,Arizona,4,2001,2001,"May, 2001",2001/05,33
,Arizona,4,2001,2001,"Jun., 2001",2001/06,31
,Arizona,4,2001,2001,"Jul., 2001",2001/07,40
,Arizona,4,2001,2001,"Aug., 2001",2001/08,49
,Arizona,4,2001,2001,"Sep., 2001",2001/09,32
,Arizona,4,2001,2001,"Oct., 2001",2001/10,37
,Arizona,4,2001,2001,"Nov., 2001",2001/11,42
,Arizona,4,2001,2001,"Dec., 2001",2001/12,37
,Arizona,4,2002,2002,"Jan., 2002",2002/01,35
,Arizona,4,2002,2002,"Feb., 2002",2002/02,28
,Arizona,4,2002,2002,"Mar., 2002",2002/03,35
,Arizona,4,2002,2002,"Apr., 2002",2002/04,46
,Arizona,4,2002,2002,"May, 2002",2002/05,39
,Arizona,4,2002,2002,"Jun., 2002",2002/06,47
,Arizona,4,2002,2002,"Jul., 2002",2002/07,40
,Arizona,4,2002,2002,"Aug., 2002",2002/08,40
,Arizona,4,2002,2002,"Sep., 2002",2002/09,38
,Arizona,4,2002,2002,"Oct., 2002",2002/10,46
,Arizona,4,2002,2002,"Nov., 2002",2002/11,32
,Arizona,4,2002,2002,"Dec., 2002",2002/12,38
,Arizona,4,2003,2003,"Jan., 2003",2003/01,42
,Arizona,4,2003,2003,"Feb., 2003",2003/02,37
,Arizona,4,2003,2003,"Mar., 2003",2003/03,41
,Arizona,4,2003,2003,"Apr., 2003",2003/04,33
,Arizona,4,2003,2003,"May, 2003",2003/05,42
,Arizona,4,2003,2003,"Jun., 2003",2003/06,42
,Arizona,4,2003,2003,"Jul., 2003",2003/07,55
,Arizona,4,2003,2003,"Aug., 2003",2003/08,53
,Arizona,4,2003,2003,"Sep., 2003",2003/09,39
,Arizona,4,2003,2003,"Oct., 2003",2003/10,43
,Arizona,4,2003,2003,"Nov., 2003",2003/11,42
,Arizona,4,2003,2003,"Dec., 2003",2003/12,43
,Arizona,4,2004,2004,"Jan., 2004",2004/01,38
,Arizona,4,2004,2004,"Feb., 2004",2004/02,49
,Arizona,4,2004,2004,"Mar., 2004",2004/03,45
,Arizona,4,2004,2004,"Apr., 2004",2004/04,39
,Arizona,4,2004,2004,"May, 2004",2004/05,41
,Arizona,4,2004,2004,"Jun., 2004",2004/06,38
,Arizona,4,2004,2004,"Jul., 2004",2004/07,61
,Arizona,4,2004,2004,"Aug., 2004",2004/08,48
,Arizona,4,2004,2004,"Sep., 2004",2004/09,39
,Arizona,4,2004,2004,"Oct., 2004",2004/10,50
,Arizona,4,2004,2004,"Nov., 2004",2004/11,37
,Arizona,4,2004,2004,"Dec., 2004",2004/12,64
,Arizona,4,2005,2005,"Jan., 2005",2005/01,40
,Arizona,4,2005,2005,"Feb., 2005",2005/02,51
,Arizona,4,2005,2005,"Mar., 2005",2005/03,40
,Arizona,4,2005,2005,"Apr., 2005",2005/04,53
,Arizona,4,2005,2005,"May, 2005",2005/05,60
,Arizona,4,2005,2005,"Jun., 2005",2005/06,44
,Arizona,4,2005,2005,"Jul., 2005",2005/07,61
,Arizona,4,2005,2005,"Aug., 2005",2005/08,45
,Arizona,4,2005,2005,"Sep., 2005",2005/09,47
,Arizona,4,2005,2005,"Oct., 2005",2005/10,39
,Arizona,4,2005,2005,"Nov., 2005",2005/11,59
,Arizona,4,2005,2005,"Dec., 2005",2005/12,46
,Arizona,4,2006,2006,"Jan., 2006",2006/01,50
,Arizona,4,2006,2006,"Feb., 2006",2006/02,46
,Arizona,4,2006,2006,"Mar., 2006",2006/03,53
,Arizona,4,2006,2006,"Apr., 2006",2006/04,42
,Arizona,4,2006,2006,"May, 2006",2006/05,59
,Arizona,4,2006,2006,"Jun., 2006",2006/06,69
,Arizona,4,2006,2006,"Jul., 2006",2006/07,80
,Arizona,4,2006,2006,"Aug., 2006",2006/08,53
,Arizona,4,2006,2006,"Sep., 2006",2006/09,47
,Arizona,4,2006,2006,"Oct., 2006",2006/10,55
,Arizona,4,2006,2006,"Nov., 2006",2006/11,40
,Arizona,4,2006,2006,"Dec., 2006",2006/12,69
,Arizona,4,2007,2007,"Jan., 2007",2007/01,60
,Arizona,4,2007,2007,"Feb., 2007",2007/02,48
,Arizona,4,2007,2007,"Mar., 2007",2007/03,58
,Arizona,4,2007,2007,"Apr., 2007",2007/04,55
,Arizona,4,2007,2007,"May, 2007",2007/05,47
,Arizona,4,2007,2007,"Jun., 2007",2007/06,62
,Arizona,4,2007,2007,"Jul., 2007",2007/07,62
,Arizona,4,2007,2007,"Aug., 2007",2007/08,76
,Arizona,4,2007,2007,"Sep., 2007",2007/09,61
,Arizona,4,2007,2007,"Oct., 2007",2007/10,60
,Arizona,4,2007,2007,"Nov., 2007",2007/11,49
,Arizona,4,2007,2007,"Dec., 2007",2007/12,59
,Arizona,4,2008,2008,"Jan., 2008",2008/01,55
,Arizona,4,2008,2008,"Feb., 2008",2008/02,54
,Arizona,4,2008,2008,"Mar., 2008",2008/03,47
,Arizona,4,2008,2008,"Apr., 2008",2008/04,63
,Arizona,4,2008,2008,"May, 2008",2008/05,54
,Arizona,4,2008,2008,"Jun., 2008",2008/06,51
,Arizona,4,2008,2008,"Jul., 2008",2008/07,22
,Arizona,4,2008,2008,"Aug., 2008",2008/08,58
,Arizona,4,2008,2008,"Sep., 2008",2008/09,52
,Arizona,4,2008,2008,"Oct., 2008",2008/10,58
,Arizona,4,2008,2008,"Nov., 2008",2008/11,57
,Arizona,4,2008,2008,"Dec., 2008",2008/12,50
,Arizona,4,2009,2009,"Jan., 2009",2009/01,25
,Arizona,4,2009,2009,"Feb., 2009",2009/02,46
,Arizona,4,2009,2009,"Mar., 2009",2009/03,69
,Arizona,4,2009,2009,"Apr., 2009",2009/04,63
,Arizona,4,2009,2009,"May, 2009",2009/05,76
,Arizona,4,2009,2009,"Jun., 2009",2009/06,56
,Arizona,4,2009,2009,"Jul., 2009",2009/07,65
,Arizona,4,2009,2009,"Aug., 2009",2009/08,69
,Arizona,4,2009,2009,"Sep., 2009",2009/09,71
,Arizona,4,2009,2009,"Oct., 2009",2009/10,66
,Arizona,4,2009,2009,"Nov., 2009",2009/11,84
,Arizona,4,2009,2009,"Dec., 2009",2009/12,67
,Arizona,4,2010,2010,"Jan., 2010",2010/01,67
,Arizona,4,2010,2010,"Feb., 2010",2010/02,53
,Arizona,4,2010,2010,"Mar., 2010",2010/03,71
,Arizona,4,2010,2010,"Apr., 2010",2010/04,66
,Arizona,4,2010,2010,"May, 2010",2010/05,69
,Arizona,4,2010,2010,"Jun., 2010",2010/06,74
,Arizona,4,2010,2010,"Jul., 2010",2010/07,82
,Arizona,4,2010,2010,"Aug., 2010",2010/08,75
,Arizona,4,2010,2010,"Sep., 2010",2010/09,78
,Arizona,4,2010,2010,"Oct., 2010",2010/10,69
,Arizona,4,2010,2010,"Nov., 2010",2010/11,64
,Arizona,4,2010,2010,"Dec., 2010",2010/12,75
,Arizona,4,2011,2011,"Jan., 2011",2011/01,63
,Arizona,4,2011,2011,"Feb., 2011",2011/02,74
,Arizona,4,2011,2011,"Mar., 2011",2011/03,84
,Arizona,4,2011,2011,"Apr., 2011",2011/04,63
,Arizona,4,2011,2011,"May, 2011",2011/05,83
,Arizona,4,2011,2011,"Jun., 2011",2011/06,61
,Arizona,4,2011,2011,"Jul., 2011",2011/07,66
,Arizona,4,2011,2011,"Aug., 2011",2011/08,80
,Arizona,4,2011,2011,"Sep., 2011",2011/09,58
,Arizona,4,2011,2011,"Oct., 2011",2011/10,57
,Arizona,4,2011,2011,"Nov., 2011",2011/11,67
,Arizona,4,2011,2011,"Dec., 2011",2011/12,55
,Arizona,4,2012,2012,"Jan., 2012",2012/01,75
,Arizona,4,2012,2012,"Feb., 2012",2012/02,71
,Arizona,4,2012,2012,"Mar., 2012",2012/03,72
,Arizona,4,2012,2012,"Apr., 2012",2012/04,78
,Arizona,4,2012,2012,"May, 2012",2012/05,75
,Arizona,4,2012,2012,"Jun., 2012",2012/06,74
,Arizona,4,2012,2012,"Jul., 2012",2012/07,75
,Arizona,4,2012,2012,"Aug., 2012",2012/08,75
,Arizona,4,2012,2012,"Sep., 2012",2012/09,63
,Arizona,4,2012,2012,"Oct., 2012",2012/10,63
,Arizona,4,2012,2012,"Nov., 2012",2012/11,65
,Arizona,4,2012,2012,"Dec., 2012",2012/12,57
,Arizona,4,2013,2013,"Jan., 2013",2013/01,72
,Arizona,4,2013,2013,"Feb., 2013",2013/02,75
,Arizona,4,2013,2013,"Mar., 2013",2013/03,76
,Arizona,4,2013,2013,"Apr., 2013",2013/04,81
,Arizona,4,2013,2013,"May, 2013",2013/05,77
,Arizona,4,2013,2013,"Jun., 2013",2013/06,81
,Arizona,4,2013,2013,"Jul., 2013",2013/07,82
,Arizona,4,2013,2013,"Aug., 2013",2013/08,90
,Arizona,4,2013,2013,"Sep., 2013",2013/09,82
,Arizona,4,2013,2013,"Oct., 2013",2013/10,65
,Arizona,4,2013,2013,"Nov., 2013",2013/11,79
,Arizona,4,2013,2013,"Dec., 2013",2013/12,82
,Arizona,4,2014,2014,"Jan., 2014",2014/01,77
,Arizona,4,2014,2014,"Feb., 2014",2014/02,82
,Arizona,4,2014,2014,"Mar., 2014",2014/03,77
,Arizona,4,2014,2014,"Apr., 2014",2014/04,73
,Arizona,4,2014,2014,"May, 2014",2014/05,77
